structure_id,fire,damage,roof_material,side_material,ground_deck_material,elevated_deck_material,eaves,vent_screen,window_pane,patio_cover,fence,coordinate_x,coordinate_y
133,palisades,destroyed (>50%),asphalt,masonry,n/a,n/a,unenclosed,<= 1/8 in,multi pane,combustible,non-combustible,131567.874217879,-440239.714917362
134,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,multi pane,n/a,non-combustible,125132.538758736,-440806.40884148
135,palisades,no damage,asphalt,masonry,masonry,n/a,n/a,<= 1/8 in,multi pane,non-combustible,combustible,131788.32045394,-440462.449234657
136,palisades,destroyed (>50%),tile,masonry,masonry,n/a,n/a,n/a,n/a,n/a,non-combustible,135646.440117293,-441026.028894825
137,palisades,no damage,tile,masonry,n/a,n/a,unenclosed,> 1/8 in,multi pane,combustible,combustible,132358.130834657,-439904.04869741
138,palisades,destroyed (>50%),masonry,masonry,masonry,masonry,enclosed,<= 1/8 in,multi pane,n/a,n/a,127358.104555182,-440240.998978391
139,palisades,no damage,metal,wood,masonry,n/a,unenclosed,n/a,single pane,combustible,n/a,137337.127505049,-439809.310459411
140,palisades,no damage,masonry,masonry,masonry,n/a,enclosed,<= 1/8 in,multi pane,combustible,n/a,127254.797788895,-440415.280986823
141,palisades,no damage,asphalt,masonry,masonry,masonry,enclosed,n/a,multi pane,n/a,combustible,125881.13068187,-441085.844359959
142,palisades,destroyed (>50%),tile,masonry,masonry,masonry,n/a,> 1/8 in,n/a,n/a,non-combustible,124839.326541538,-440717.445909353
143,palisades,no damage,masonry,masonry,masonry,masonry,n/a,n/a,multi pane,non-combustible,non-combustible,124442.238386724,-441045.242014907
144,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,n/a,multi pane,n/a,non-combustible,131849.870378915,-440096.267679689
145,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,unenclosed,<= 1/8 in,multi pane,combustible,combustible,131579.288402127,-440133.64890725
146,palisades,no damage,asphalt,wood,masonry,n/a,unenclosed,<= 1/8 in,multi pane,n/a,non-combustible,132207.585653385,-440151.408445401
147,palisades,no damage,asphalt,masonry,n/a,n/a,unenclosed,> 1/8 in,multi pane,n/a,non-combustible,132092.807585299,-439685.174818879
148,palisades,no damage,metal,masonry,masonry,masonry,n/a,n/a,multi pane,non-combustible,non-combustible,125078.888505105,-440869.300932009
149,palisades,destroyed (>50%),asphalt,masonry,n/a,n/a,n/a,n/a,n/a,n/a,non-combustible,131563.00473947,-440560.992269496
150,palisades,destroyed (>50%),asphalt,masonry,masonry,masonry,n/a,n/a,multi pane,n/a,non-combustible,131838.512241635,-440109.417319467
151,palisades,no damage,asphalt,masonry,n/a,n/a,unenclosed,n/a,multi pane,n/a,non-combustible,132046.885873788,-439959.096683875
152,palisades,no damage,tile,masonry,n/a,n/a,unenclosed,n/a,multi pane,combustible,non-combustible,132338.175452989,-439784.284236228
153,palisades,destroyed (>50%),asphalt,masonry,masonry,n/a,n/a,> 1/8 in,multi pane,n/a,n/a,131409.696133693,-440279.116018375
154,palisades,no damage,asphalt,masonry,n/a,n/a,enclosed,n/a,multi pane,n/a,non-combustible,127344.731314942,-440334.401922496
155,palisades,destroyed (>50%),asphalt,masonry,n/a,n/a,n/a,> 1/8 in,n/a,n/a,non-combustible,127567.503418061,-440832.630421333
156,palisades,no damage,asphalt,wood,wood,wood,unenclosed,n/a,multi pane,n/a,combustible,132230.495515403,-440179.210616253
157,palisades,no damage,masonry,masonry,masonry,wood,enclosed,> 1/8 in,single pane,non-combustible,combustible,132541.340231001,-440326.432614548
158,palisades,affected (>0-10%),tile,masonry,masonry,masonry,n/a,n/a,multi pane,n/a,n/a,132362.455460336,-440471.469576778
159,palisades,destroyed (>50%),tile,masonry,masonry,n/a,enclosed,> 1/8 in,multi pane,n/a,non-combustible,127654.72969477,-440562.717044983
160,palisades,affected (>0-10%),asphalt,masonry,masonry,n/a,unenclosed,<= 1/8 in,single pane,combustible,combustible,132035.965092826,-440448.338548876
161,palisades,destroyed (>50%),tile,masonry,masonry,n/a,n/a,n/a,multi pane,combustible,combustible,131331.817224255,-440592.700724395
162,palisades,affected (>0-10%),asphalt,masonry,wood,wood,enclosed,> 1/8 in,multi pane,combustible,combustible,132124.651243448,-439698.837338198
163,palisades,destroyed (>50%),n/a,masonry,n/a,masonry,n/a,n/a,n/a,n/a,n/a,135710.585402047,-440720.758302633
164,palisades,destroyed (>50%),n/a,masonry,n/a,n/a,n/a,n/a,n/a,n/a,n/a,135694.901098697,-441016.468437593
165,palisades,destroyed (>50%),n/a,masonry,n/a,n/a,n/a,n/a,single pane,n/a,n/a,128006.802030393,-440796.923702141
